"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"211",18,7,3.7829,2,"Monitor",25,40,8,3,60,6,3,70,3,"Metro_label"
"212",18,8,2.4498,2,"Monitor",15,30,7,3,60,4,3,80,5,"Metro_label"
"213",18,9,3.3956,2,"Monitor",20,40,8,1,50,5,1,80,3,"Metro_label"
"214",18,10,4.3192,2,"Monitor",15,40,7,1,50,6,1,70,5,"Metro_label"
"215",18,11,2.783,2,"Monitor",25,20,7,2,70,5,2,80,5,"Metro_label"
"216",18,12,4.1664,2,"Monitor",25,30,9,1,70,6,1,60,4,"Bus_label"
"217",19,1,11.447,3,"Monitor",25,40,9,1,50,4,1,60,5,"Bus_label"
"218",19,2,5.4006,3,"Monitor",20,30,8,1,70,6,1,80,5,"RH_label"
"219",19,3,3.8664,3,"Monitor",15,30,8,3,50,4,3,80,5,"RH_label"
"220",19,4,4.7163,3,"Monitor",15,30,8,1,60,5,1,70,4,"RH_label"
"221",19,5,11.9328,3,"Monitor",25,20,7,3,50,5,3,60,5,"Metro_label"
"222",19,6,5.5051,3,"Monitor",15,20,7,2,60,5,2,70,3,"RH_label"
"223",19,7,4.6998,3,"Monitor",20,30,7,3,60,4,3,80,4,"Metro_label"
"224",19,8,6.0008,3,"Monitor",20,40,9,2,60,4,2,80,3,"Metro_label"
"225",19,9,9.5965,3,"Monitor",15,40,9,2,70,6,2,60,4,"Bus_label"
"226",19,10,12.9311,3,"Monitor",25,40,9,3,70,5,3,70,3,"RH_label"
"227",19,11,9.3952,3,"Monitor",25,20,8,2,50,6,2,70,5,"RH_label"
"228",19,12,4.3187,3,"Monitor",20,30,7,1,70,6,1,70,3,"RH_label"
"229",20,1,3.6603,3,"Monitor",25,40,9,1,50,4,1,60,5,"Metro_label"
"230",20,2,9.0036,3,"Monitor",20,30,8,1,70,6,1,80,5,"Metro_label"
"231",20,3,19.872,3,"Monitor",15,30,8,3,50,4,3,80,5,"Metro_label"
"232",20,4,7.3883,3,"Monitor",15,30,8,1,60,5,1,70,4,"Metro_label"
"233",20,5,5.8237,3,"Monitor",25,20,7,3,50,5,3,60,5,"Metro_label"
"234",20,6,8.3523,3,"Monitor",15,20,7,2,60,5,2,70,3,"Metro_label"
"235",20,7,4.9003,3,"Monitor",20,30,7,3,60,4,3,80,4,"Metro_label"
"236",20,8,6.8178,3,"Monitor",20,40,9,2,60,4,2,80,3,"Metro_label"
"237",20,9,8.2299,3,"Monitor",15,40,9,2,70,6,2,60,4,"Bus_label"
"238",20,10,6.9486,3,"Monitor",25,40,9,3,70,5,3,70,3,"Metro_label"
"239",20,11,7.8333,3,"Monitor",25,20,8,2,50,6,2,70,5,"Metro_label"
"240",20,12,5.9994,3,"Monitor",20,30,7,1,70,6,1,70,3,"Metro_label"
"241",21,1,8.2246,2,"Monitor",15,20,8,3,70,4,3,60,4,"RH_label"
"242",21,2,4.2048,2,"Monitor",20,20,7,3,70,6,3,60,3,"Bus_label"
"243",21,3,5.4148,2,"Monitor",15,40,9,1,60,4,1,70,5,"Metro_label"
"244",21,4,3.6329,2,"Monitor",25,30,8,2,70,4,2,80,4,"Metro_label"
"245",21,5,3.2309,2,"Monitor",25,20,9,2,60,4,2,70,4,"Metro_label"
"246",21,6,4.0044,2,"Monitor",20,30,9,2,50,5,2,60,3,"RH_label"
"247",21,7,5.1996,2,"Monitor",25,40,8,3,60,6,3,70,3,"Metro_label"
"248",21,8,4.2048,2,"Monitor",15,30,7,3,60,4,3,80,5,"RH_label"
"249",21,9,6.9633,2,"Monitor",20,40,8,1,50,5,1,80,3,"Metro_label"
"250",21,10,5.067,2,"Monitor",15,40,7,1,50,6,1,70,5,"Metro_label"
"251",21,11,3.6165,2,"Monitor",25,20,7,2,70,5,2,80,5,"RH_label"
"252",21,12,3.5869,2,"Monitor",25,30,9,1,70,6,1,60,4,"RH_label"
"253",22,1,5.8713,3,"Monitor",25,40,9,1,50,4,1,60,5,"Metro_label"
"254",22,2,6.382,3,"Monitor",20,30,8,1,70,6,1,80,5,"Bus_label"
"255",22,3,8.048,3,"Monitor",15,30,8,3,50,4,3,80,5,"RH_label"
"256",22,4,8.6158,3,"Monitor",15,30,8,1,60,5,1,70,4,"RH_label"
"257",22,5,4.496,3,"Monitor",25,20,7,3,50,5,3,60,5,"Metro_label"
"258",22,6,10.8463,3,"Monitor",15,20,7,2,60,5,2,70,3,"RH_label"
"259",22,7,11.2646,3,"Monitor",20,30,7,3,60,4,3,80,4,"Metro_label"
"260",22,8,4.8166,3,"Monitor",20,40,9,2,60,4,2,80,3,"Metro_label"
"261",22,9,6.7798,3,"Monitor",15,40,9,2,70,6,2,60,4,"Bus_label"
"262",22,10,7.7178,3,"Monitor",25,40,9,3,70,5,3,70,3,"Metro_label"
"263",22,11,6.3121,3,"Monitor",25,20,8,2,50,6,2,70,5,"Metro_label"
"264",22,12,5.0826,3,"Monitor",20,30,7,1,70,6,1,70,3,"Metro_label"
"265",23,1,4.8247,2,"Monitor",15,20,8,3,70,4,3,60,4,"Bus_label"
"266",23,2,9.4719,2,"Monitor",20,20,7,3,70,6,3,60,3,"Bus_label"
"267",23,3,9.0393,2,"Monitor",15,40,9,1,60,4,1,70,5,"Metro_label"
"268",23,4,6.218,2,"Monitor",25,30,8,2,70,4,2,80,4,"Metro_label"
"269",23,5,5.7519,2,"Monitor",25,20,9,2,60,4,2,70,4,"Metro_label"
"270",23,6,7.017,2,"Monitor",20,30,9,2,50,5,2,60,3,"RH_label"
"271",23,7,5.147,2,"Monitor",25,40,8,3,60,6,3,70,3,"Metro_label"
"272",23,8,4.8975,2,"Monitor",15,30,7,3,60,4,3,80,5,"Metro_label"
"273",23,9,3.8684,2,"Monitor",20,40,8,1,50,5,1,80,3,"Metro_label"
"274",23,10,3.8879,2,"Monitor",15,40,7,1,50,6,1,70,5,"Metro_label"
"275",23,11,4.3974,2,"Monitor",25,20,7,2,70,5,2,80,5,"Metro_label"
"276",23,12,5.6521,2,"Monitor",25,30,9,1,70,6,1,60,4,"Bus_label"
"277",24,1,8.5503,3,"Monitor",25,40,9,1,50,4,1,60,5,"Bus_label"
"278",24,2,8.9613,3,"Monitor",20,30,8,1,70,6,1,80,5,"Metro_label"
"279",24,3,9.7205,3,"Monitor",15,30,8,3,50,4,3,80,5,"RH_label"
"280",24,4,7.6323,3,"Monitor",15,30,8,1,60,5,1,70,4,"Metro_label"
"281",24,5,6.0172,3,"Monitor",25,20,7,3,50,5,3,60,5,"RH_label"
"282",24,6,6.3666,3,"Monitor",15,20,7,2,60,5,2,70,3,"Metro_label"
"283",24,7,3.9707,3,"Monitor",20,30,7,3,60,4,3,80,4,"Metro_label"
"284",24,8,5.2331,3,"Monitor",20,40,9,2,60,4,2,80,3,"Metro_label"
"285",24,9,9.6853,3,"Monitor",15,40,9,2,70,6,2,60,4,"Metro_label"
"286",24,10,5.6664,3,"Monitor",25,40,9,3,70,5,3,70,3,"Metro_label"
"287",24,11,5.1476,3,"Monitor",25,20,8,2,50,6,2,70,5,"Metro_label"
"288",24,12,6.5363,3,"Monitor",20,30,7,1,70,6,1,70,3,"Metro_label"
"289",25,1,5.2106,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label"
"290",25,2,5.404,4,"Monitor",20,40,8,2,70,4,2,70,5,"RH_label"
"291",25,3,6.043,4,"Monitor",20,30,8,2,60,5,2,60,5,"Metro_label"
"292",25,4,6.6997,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label"
"293",25,5,3.3558,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label"
"294",25,6,5.295,4,"Monitor",25,20,9,3,50,4,3,80,3,"Metro_label"
"295",25,7,6.7036,4,"Monitor",15,20,9,2,50,6,2,80,4,"RH_label"
